treatment,colony,emigration,tie_density,coefficient_of_variation
no_choice,60,1,0.01322751,3.124398
no_choice,60,3,0.009259259,2.072751
no_choice,60,5,0.01455026,2.050795
no_choice,59,1,0.008859358,2.147663
no_choice,59,3,0.008536585,2.716616
no_choice,59,5,0.01646341,1.684452
no_choice,45,1,0.02184874,1.94281
no_choice,45,3,0.005681818,2.73433
no_choice,45,5,0.01704545,2.083772
no_choice,47,1,NA,NA
no_choice,47,3,0.01231527,1.941649
no_choice,47,5,0.01970443,1.785513
choice,42,1,0.0110742,2.016774
choice,42,3,0.006090808,1.804517
choice,42,5,0.01439646,2.413367
choice,55,1,0.01566952,1.956455
choice,55,3,0.01709402,2.362569
choice,55,5,0.01846154,1.861899
choice,41,1,0.01075269,2.579664
choice,41,3,0.01231527,2.090625
choice,41,5,0.01231527,1.941649
choice,53,1,0.02116402,1.870829
choice,53,3,0.01994302,2.208144
choice,53,5,0.01566952,2.443594
