"","V1","V2"
"1",348.232191975432,283.130508507739
"2",316.785900016053,364.391534391534
"3",151.891247267778,370
"4",269.458873139485,254.560846560847
"5",75.9447236180904,266.140703517588
"6",364,204
"7",421.177769502919,324.525658946069
"8",61.8665851009719,385
"9",36.9497487437186,330.482412060301
"10",98.3668341708543,208.623115577889
"11",326.884230999479,107.06835443038
"12",421.177769502919,235.286275652977
"13",394.755427295242,235.286275652977
"14",303,249
"15",160,36
"16",123.466556264506,302.211055276382
"17",233,101
"18",62,152
"19",423,261.845615918778
"20",176,119
"21",395.666542543782,262.90798952941
"22",87.643216080402,90.6633165829146
"23",423,294.779197848372
"24",395.666542543782,357.459240875662
"25",35.9974293059126,263
"26",128.758354755784,253
"27",226.506426735218,225
"28",81.7890200481492,8.84050632911391
"29",422.088884751459,358.521614486294
"30",395.117887312372,388
"31",243.623115577889,309.035175879397
"32",240.380038899009,41.2556962025317
"33",35,93
"34",140.816307391485,154.994708994709
"35",186,282
"36",395.666542543782,325.588032556701
"37",293,126
"38",421.125634842921,386.715884856931
"39",395.666542543782,292.654450627108
"40",320.955092163454,49.3708937923702
"41",125,212
"42",365.053091019067,158
"43",232.690777378968,0
